ID: ID, prediction: prediction, label: label
ID: 810, prediction: b'74101010', label: b'410101010'
ID: 2809, prediction: b'210101010', label: b'24101010'
ID: 5517, prediction: b'78101010', label: b'79101010'
ID: 11132, prediction: b'2761010', label: b'2701010'
ID: 6022, prediction: b'33101010', label: b'31101010'
ID: 5520, prediction: b'11101010', label: b'1141010'
ID: 12767, prediction: b'44101010', label: b'84101010'
ID: 1255, prediction: b'45101010', label: b'15101010'
ID: 11109, prediction: b'21101010', label: b'210101010'
ID: 8387, prediction: b'18101010', label: b'810101010'
ID: 2896, prediction: b'4431010', label: b'43101010'
ID: 9538, prediction: b'34101010', label: b'310101010'
ID: 8519, prediction: b'8811010', label: b'8841010'
ID: 9984, prediction: b'47101010', label: b'17101010'
ID: 10576, prediction: b'74101010', label: b'14101010'
ID: 4454, prediction: b'32101010', label: b'20101010'
ID: 340, prediction: b'68101010', label: b'88101010'
ID: 9029, prediction: b'111910', label: b'177910'
ID: 2187, prediction: b'410101010', label: b'42101010'
ID: 2532, prediction: b'2651010', label: b'3301010'
ID: 11363, prediction: b'62101010', label: b'52101010'
ID: 12319, prediction: b'27101010', label: b'2271010'
ID: 10083, prediction: b'1421010', label: b'1121010'
ID: 2232, prediction: b'70101010', label: b'710101010'
ID: 7782, prediction: b'810101010', label: b'610101010'
ID: 3003, prediction: b'5491010', label: b'6481010'
ID: 3096, prediction: b'17101010', label: b'1701010'
ID: 2632, prediction: b'2661010', label: b'26101010'
ID: 5114, prediction: b'79101010', label: b'19101010'
ID: 3063, prediction: b'59101010', label: b'09101010'
ID: 11733, prediction: b'11101010', label: b'50101010'
ID: 6146, prediction: b'77101010', label: b'27101010'
ID: 1400, prediction: b'40101010', label: b'44101010'
ID: 1473, prediction: b'37101010', label: b'310101010'
ID: 12050, prediction: b'3011010', label: b'30101010'
ID: 1115, prediction: b'36101010', label: b'60101010'
ID: 6841, prediction: b'24101010', label: b'210101010'
ID: 12463, prediction: b'2551010', label: b'25101010'
